Likes,Dislikes,Subscribers,Views
104460,3365,7300000,1988888
103203,3570,3300000,2617005
22485,612,1800000,932230
23077,1337,465000,1165800
12315,522,11000000,551165
138716,4417,11000000,2046842
10505,496,1600000,579260
48917,1633,4100000,3486815
56590,1004,3000000,2122981
3531,340,157000,292233
9842,253,3100000,435935
10919,413,4000000,422889
316492,7384,19000000,5247188
37102,680,1800000,1117635
33876,785,6300000,1211786
16021,4595,461000,8125406
42473,13161,391000,6852292
180665,12626,159000,16241700
12086,178,2900000,449512
14913,962,34000,1598024
59184,2214,35000,9701104
17374,924,21000,2462447
66196,4706,459000,16022201
17507,337,570000,1360639
26379,2915,10000000,9452147
26853,10735,324000,28040587
89628,5481,1600000,8376846
17374,924,21000,2462447
101468,5726,13000000,5153706
14393,2200,13000000,1580111
44160,2312,3400000,3749755
84551,5561,6600000,3640895
24936,598,18000000,1860149
68359,2709,10000,5160130
18451,651,5200000,1619070
31213,460,29000000,1514364
12058,1846,2500000,2678150
60523,2623,540000,4231282
54641,31290,2500000,18042518
38866,2991,696000,4597863
111667,47179,10000000,7458805
130616,21280,41000000,19257071
22557,663,7800000,1219669
81060,3386,17000,10858469
76285,3138,3000000,3212600
70522,1376,11000000,2411665
10307,2017,997000,449863
22526,348,11000000,771827
58956,1611,3200000,1868947
53424,1791,11000000,2042217
101140,1608,2700000,2826508
33271,8307,1300000,7730366
118817,16451,45000,16715456
129861,42420,41000000,18619655
87943,31917,1300000,18115910
128751,13601,41000000,12099803
60818,2359,12000000,3188886
54338,4002,41000000,3233997
90734,5705,41000000,6467259
583768,54876,7600000,52118409
17453,346,1500000,657648
13167,394,8400000,449226
18208,1459,683000,951333
10423,207,1400000,323573
45957,12382,358000,3089109
13295,458,10000000,545176
6536,1065,720000,605761
15501,457,2200000,649396
19963,313,625000,509725
1336,152,509000,81845
345956,4832,11000000,6120875
68697,2084,7300000,1736885
71947,13079,256000,87256969
56115,5145,324000,6902312
28406,4855,1300000,4376383
159603,121603,0,43332171
81062,3386,17000,10858469
76285,3138,3000000,3212600
70526,1377,11000000,2411665
20661,496,2800000,2461206
58956,1611,3200000,1868947
53425,1791,11000000,2042217
190424,1791,19000000,5627522
52,11,3300,11130
1949356,26470,22000000,84923448
21021,3375,0,5362429
402729,23890,2900000,97122428
6947127,512981,4000000,433139644
596,23,282000,29211
4774195,634053,5400000,495991482
4773941,160960,3000000,755133423
5271431,341851,7500000,708527437
2846199,165396,5500000,640341449
1931573,119599,1400000,271459547
261491,10825,23000000,22760411
1846527,117401,2700000,73257796
146739,25449,8200000,10980854
14686,766,0,1670161
8893670,329811,16000000,881446050
98399,6409,279000,13276598
59,31,12000,774723
13850,1349,274000,5486907
4248,195,461000,812741
795,6,79000,21593
107,15,566000,15597
55,2,271000,2655
148,3,566000,5567
36,2,566000,2123
20,3,413000,804
195,6,566000,8626
323,13,271000,20951
133,14,566000,19106
680,33,566000,108957
130,3,566000,5393
25238,1508,457000,3286733
417,18,1400000,9958
41,3,1000000,1900
3980,545,67000,1084054
498,30,1400000,16321
1255,63,471000,100786
2405,295,274000,893074
511,131,477000,38160
2370,312,274000,1070594
8992,774,274000,2133774
14403,3320,472000,7340578
13271,1763,11000,2573940
66196,4706,459000,16022201
22767,4695,274000,6728322
5775,546,274000,1300960
707,44,1400000,28292
48,2,754000,23177
5,0,109000,153
1591,68,483000,68090
5,1,98000,437
4743,399,19000000,249085
13241,188,270000,175824
13270,357,3400000,326792
56595,2494,7400000,1520042
2822,47,389000,59924
987,50,1000000,19250
38018,3756,270000,2090696
5186,594,138000,579357
193402,12533,13000000,9678547
67297,2300,10000000,1750353
15499,584,3400000,485380
31005,3766,265000,4677583
29982,6812,1100000,2639921
21629,2228,70000,1961470
60491,6842,265000,6465651
17600,319,4000000,815733
3211,142,33000,122243
19394,451,459000,324097
8627,259,354000,186413
1532,228,70000000,16700
930,188,70000000,10836
347,52,70000000,3604
2917,378,53000,796455
5154,995,0,2058051
475,20,1500000,10667
85,14,301000,24102
9029,362,2700,1187468
10352,1651,0,4101705
151,84,5900,100070
4120,238,3000,758308
12634,2129,31000,4041102
1450,153,0,275121
5415,1346,8900,4023525
5423,593,17000000,823528
10509,1433,0,3476317
8925,1510,0,3067222
25898,9946,0,8785106
472,56,21000,127795
20673,3090,0,8084975
935,268,0,600569
5530,286,35000,209580
7188,331,487000,577033
1769,209,20000000,102112
579,47,401000,16501
1186,211,28000,355692
2163,102,0,504276
11553,4866,5300000,2722553
2522,205,10000,643770
32145,6988,5300000,10083111
40710,8916,750000,16961340
27996,2273,487000,4261050
33,1,1700,7440
20515,1357,487000,1969878
1809,308,52000,875742
22453,4164,243000,8827615
2251,158,19000000,126802
4577,295,487000,340470
304,121,51000,90077
1601,477,5300000,194097
955,85,3400000,70284
19,37,336000,2686
15,6,98000,3125
868,169,5300000,19812
18,58,98000,4076
60,8,558000,4290
534,182,5300000,71874
28,3,1000000,2259
58,28,4800000,10319
255,23,958000,30228
41,11,958000,3053
265,93,3400000,19450
134,190,3400000,13815
787,32,2100000,19699
278,25,4800000,15868
3,4,1300000,2267
1992,147,2100000,91138
391,41,2100000,18862
77,4,4400000,2625
132,5,1000000,10365
2572,165,2100000,61854
257,13,4400000,11662
92,4,4400000,3892
101,85,2100000,47913
392,77,958000,59958
215,11,4400000,4848
1583,250,870000,229109
510,62,822000,118976
6981,202,7700000,237867
32976,2669,36000000,2486737
223,50,523000,81142
21195,1305,36000000,1003747
11183,390,36000000,596952
9975,15201,7100000,1492843
9179,151,7700000,244981
1738,92,646000,226177
2932,196,646000,316918
8063,353,639000,404018
7816,96,143000,63349
307,42,668000,95656
850,3,60000,28383
649,128,1000000,150068
12503,357,459000,326633
1150115,29272,22000000,75266316
23501,1176,90000,4421092
37021,930,345000,4113789
512125,10470,22000000,25545751
163157,6350,452000,38452318
12586,467,2100000,4842765
133,9,455000,2213
1100,14,38000,90338
1310,9,2100000,147422
592,10,177000,7758
41,0,35000,895
27,4,0,4354
1447948,31286,3400000,137538714
795978,16165,3400000,81080373
589041,11070,3400000,63923626
7080,144,26000,519666
17114,542,543000,1409376
4018,50,2000000,126954
46353,1832,2200000,17259546
47,1,47000,462
128,28,72000,384026
165,94,5300000,9265
76,13,1300000,7665
240,67,5300000,12384
68,26,1300000,7009
